# ====== PROJECT SETUP METADATA ======
project_name,STS8300_LB_RevA
site_num,4
schema_version,1.0
default_package,0603
default_voltage,50V
default_tolerance,1%
ate_platform,STS8300_A28D4
component_overrides,"{'SOCKET_PATH': 'Sch_lib/sockets/JW_Contator.kicad_sym', 'SOCKET_NAME': 'FTD_PP_25C_DFN4X4X0.75-10', 'GLOBAL_LDO': ''}"
Hardware Config,c:\Users\11271\Desktop\Table2SCH\Sch_lib\platforms\sts8300_slot.xlsx

# ====== PIN MAPPING ======
Display Pin,Hidden F/S Mapping,Logical Net,Resource Types,Channel Allocations,Connect Type,Active Circuits,Passive Circuits (Parsed),Params
1F/S (PIN1_APWM12_BP),"{'F': '1F', 'S': '1S'}",PIN1_APWM12_BP,ACM200,Site1(ACM200[S5_CH0]) | Site2(ACM200[S11_CH0]) | Site3(ACM200[S21_CH0]) | Site4(ACM200[S27_CH0]),Direct,,[],{}
2F/S (PIN2_APWM11_BP),"{'F': '2F', 'S': '2S'}",PIN2_APWM11_BP,ACM200,Site1(ACM200[S5_CH1]) | Site2(ACM200[S11_CH1]) | Site3(ACM200[S21_CH1]) | Site4(ACM200[S27_CH1]),Direct,,[],{}
3F/S (PIN3_APWM10_BP),"{'F': '3F', 'S': '3S'}",PIN3_APWM10_BP,ACM200,Site1(ACM200[S5_CH2]) | Site2(ACM200[S11_CH2]) | Site3(ACM200[S21_CH2]) | Site4(ACM200[S27_CH2]),Direct,,[],{}
4F/S (PIN4_APWM9_BP),"{'F': '4F', 'S': '4S'}",PIN4_APWM9_BP,ACM200,Site1(ACM200[S5_CH3]) | Site2(ACM200[S11_CH3]) | Site3(ACM200[S21_CH3]) | Site4(ACM200[S27_CH3]),Direct,,[],{}
5F/S (PIN5_APWM8_BP),"{'F': '5F', 'S': '5S'}",PIN5_APWM8_BP,ACM200,Site1(ACM200[S5_CH4]) | Site2(ACM200[S11_CH4]) | Site3(ACM200[S21_CH4]) | Site4(ACM200[S27_CH4]),Direct,,[],{}
6F/S (PIN6_APWM7_BP),"{'F': '6F', 'S': '6S'}",PIN6_APWM7_BP,ACM200,Site1(ACM200[S5_CH5]) | Site2(ACM200[S11_CH5]) | Site3(ACM200[S21_CH5]) | Site4(ACM200[S27_CH5]),Direct,,[],{}
7F/S (PIN7_APWM6),"{'F': '7F', 'S': '7S'}",PIN7_APWM6,ACM200,Site1(ACM200[S5_CH6]) | Site2(ACM200[S11_CH6]) | Site3(ACM200[S21_CH6]) | Site4(ACM200[S27_CH6]),Direct,,[],{}
8F/S (PIN8_APWM5),"{'F': '8F', 'S': '8S'}",PIN8_APWM5,ACM200,Site1(ACM200[S5_CH7]) | Site2(ACM200[S11_CH7]) | Site3(ACM200[S21_CH7]) | Site4(ACM200[S27_CH7]),Direct,,[],{}
9F/S (PIN9_APWM4),"{'F': '9F', 'S': '9S'}",PIN9_APWM4,ACM200,Site1(ACM200[S5_CH8]) | Site2(ACM200[S11_CH8]) | Site3(ACM200[S21_CH8]) | Site4(ACM200[S27_CH8]),Direct,,[],{}
10F/S (PIN10_APWM3),"{'F': '10F', 'S': '10S'}",PIN10_APWM3,ACM200,Site1(ACM200[S5_CH9]) | Site2(ACM200[S11_CH9]) | Site3(ACM200[S21_CH9]) | Site4(ACM200[S27_CH9]),Direct,,[],{}
11F/S (PIN11_APWM2),"{'F': '11F', 'S': '11S'}",PIN11_APWM2,ACM200,Site1(ACM200[S5_CH10]) | Site2(ACM200[S11_CH10]) | Site3(ACM200[S21_CH10]) | Site4(ACM200[S27_CH10]),Direct,,[],{}
12F/S (PIN12_APWM1),"{'F': '12F', 'S': '12S'}",PIN12_APWM1,ACM200,Site1(ACM200[S5_CH11]) | Site2(ACM200[S11_CH11]) | Site3(ACM200[S21_CH11]) | Site4(ACM200[S27_CH11]),Direct,,[],{}
13F/S (PIN13_SDA),"{'F': '13F', 'S': '13S'}",PIN13_SDA,"ACM200, DCM","Site1(ACM200[S5_CH12], DCM[S9_CH0]) | Site2(ACM200[S11_CH12], DCM[S9_CH0]) | Site3(ACM200[S21_CH12], DCM[S9_CH0]) | Site4(ACM200[S27_CH12], DCM[S9_CH0])",Direct,,[],{}
