Slot_Group,Instrument,Resource_Function,Pogo_Ref,Pin_Num,Original_Net
1,FPVIe,FL0,P185,A2,S1_FPVIe_FL0
1,FPVIe,FL0,P185,A3,S1_FPVIe_FL0
1,FPVIe,FL1,P185,A5,S1_FPVIe_FL1
1,FPVIe,SL1,P185,A6,S1_FPVIe_SL1
1,FPVIe,FH0,P186,A2,S1_FPVIe_FH0
1,FPVIe,SH0,P186,A3,S1_FPVIe_SH0
1,FPVIe,G0,P186,A4,S1_FPVIe_G0
1,FPVIe,FH0,P186,A5,S1_FPVIe_FH0
1,FPVIe,FH0,P186,A6,S1_FPVIe_FH0
1,FPVIe,G0,P186,A7,S1_FPVIe_G0
1,FPVIe,G1,P187,A10,S1_FPVIe_G1
1,FPVIe,FL1,P187,A11,S1_FPVIe_FL1
1,FPVIe,FL1,P187,A2,S1_FPVIe_FL1
1,FPVIe,FL1,P187,A3,S1_FPVIe_FL1
1,FPVIe,FH1,P187,A8,S1_FPVIe_FH1
1,FPVIe,FH1,P187,A9,S1_FPVIe_FH1
1,FPVIe,FL0,P188,A2,S1_FPVIe_FL0
1,FPVIe,SL0,P188,A3,S1_FPVIe_SL0
1,FPVIe,FL0,P188,A5,S1_FPVIe_FL0
1,FPVIe,FL0,P188,A6,S1_FPVIe_FL0
1,FPVIe,FH1,P189,A5,S1_FPVIe_FH1
1,FPVIe,FH1,P189,A6,S1_FPVIe_FH1
1,FPVIe,G1,P189,A7,S1_FPVIe_G1
1,FPVIe,FH0,P192,A2,S1_FPVIe_FH0
1,FPVIe,FH0,P192,A3,S1_FPVIe_FH0
1,FPVIe,G0,P192,A4,S1_FPVIe_G0
1,FPVIe,FH1,P192,A5,S1_FPVIe_FH1
1,FPVIe,SH1,P192,A6,S1_FPVIe_SH1
1,FPVIe,G1,P192,A7,S1_FPVIe_G1
10,CH3,A,P257,A10,S10_CH3_A
10,CH0,A,P257,A4,S10_CH0_A
10,CH1,A,P257,A6,S10_CH1_A
10,CH2,A,P257,A8,S10_CH2_A
10,CBIT/Power,_ARM0,P320,A3,S10_ARM0
10,CBIT/Power,_ARM1,P320,A5,S10_ARM1
10,CBIT/Power,_ARM2,P320,A7,S10_ARM2
10,CBIT/Power,_ARM3,P320,A9,S10_ARM3
10,CH3,B,P324,A10,S10_CH3_B
10,CH0,B,P324,A4,S10_CH0_B
10,CH1,B,P324,A6,S10_CH1_B
10,CH2,B,P324,A8,S10_CH2_B
11,ACM200,FH5,P273,A10,S11_ACM200_FH5
11,ACM200,FH0,P273,A2,S11_ACM200_FH0
11,ACM200,SH0,P273,A3,S11_ACM200_SH0
11,ACM200,FH4,P273,A4,S11_ACM200_FH4
11,ACM200,FL(0-11),P273,A5,S11_ACM200_FL(0-11)
11,ACM200,FL(0-11),P273,A6,S11_ACM200_FL(0-11)
11,ACM200,SL(0-5),P273,A7,S11_ACM200_SL(0-5)
11,ACM200,FH2,P273,A8,S11_ACM200_FH2
11,ACM200,SH2,P273,A9,S11_ACM200_SH2
11,ACM200,SH10,P274,A10,S11_ACM200_SH10
11,ACM200,FH19,P274,A11,S11_ACM200_FH19
11,ACM200,FH7,P274,A8,S11_ACM200_FH7
11,ACM200,SH7,P274,A9,S11_ACM200_SH7
11,ACM200,SH5,P275,A10,S11_ACM200_SH5
11,ACM200,FH1,P275,A2,S11_ACM200_FH1
11,ACM200,SH1,P275,A3,S11_ACM200_SH1
11,ACM200,SH4,P275,A4,S11_ACM200_SH4
11,ACM200,FL(12-23),P275,A5,S11_ACM200_FL(12-23)
